Time,Steering angle,Throttle,forward speed,yaw rotation,acceleration
1200,3.27E-06,1,4.73E-13,179.9997559,0
1600,3.27E-06,1,7.09E-13,179.9997559,0
3042,8.28E-06,1,-0.00059711,179.9994049,0.05008516
3442,6.98E-06,1,0.002782621,179.9994965,0.008449324
3813,5.01E-06,1,0.002581418,179.9996338,0.000542176
4213,3.27E-06,1,0.001835634,179.9997559,0.001864464
4613,2.83E-06,1,0.001213476,179.9998016,0.001555394
5004,2.83E-06,1,0.000779062,179.9998016,0.001110434
5392,2.62E-06,1,0.000498754,179.9998169,0.0007219
5788,2.62E-06,1,0.000318745,179.9998169,0.000454288
6188,2.62E-06,1,0.000205745,179.9998169,0.000282502
6557,2.62E-06,1,0,179.9998169,0.000556875
6950,2.62E-06,1,0,179.9998169,0
7331,2.62E-06,1,0,179.9998169,0
7705,2.62E-06,1,0,179.9998169,0
8103,2.62E-06,1,0,179.9998169,0
8503,2.62E-06,1,0,179.9998169,0
8891,2.62E-06,1,8.47E-05,179.9998169,0.000218234
9277,2.62E-06,1,7.78E-05,179.9998169,1.80E-05
9664,2.62E-06,1,5.77E-05,179.9998169,5.18E-05
10064,2.62E-06,1,3.99E-05,179.9998169,4.45E-05
10437,2.62E-06,1,2.36E-05,179.9998169,4.38E-05
10820,2.62E-06,1,1.72E-05,179.9998169,1.68E-05
11189,2.62E-06,1,1.47E-05,179.9998169,6.56E-06
11586,2.62E-06,1,7.03E-06,179.9998169,1.94E-05
11972,2.62E-06,1,4.56E-06,179.9998169,6.42E-06
12337,-1.31E-06,1,0.620693266,-179.9998932,1.700557325
12731,-1.83E-05,1,1.510989785,-179.9987183,2.258802307
13101,-3.05E-05,1,2.17543149,-179.9978333,1.79706901
13480,-4.27E-05,1,2.746634722,-179.996994,1.508304614
13880,-5.58E-05,1,3.277909517,-179.996109,1.32819081
14244,-6.89E-05,1,3.785752535,-179.9951782,1.393358247
14618,-8.33E-05,1,4.276871681,-179.9941559,1.31240894
15010,-9.85E-05,1,4.754685402,-179.993103,1.217605013
15410,-0.000113787,1,5.222347736,-179.9920349,1.169170149
15810,-0.000129918,0.5,5.678946018,-179.9908905,1.141511803
16194,-0.000147792,0.5,6.125919819,-179.9896545,1.164263954
16594,-0.000165667,0.5,6.563513756,-179.9884186,1.093995869
16984,-0.000183977,0.5,6.99200201,-179.9871216,1.097737683
17361,-0.000202288,0.5,7.411643982,-179.9858093,1.111678924
17743,-0.000222342,0.5,7.822659969,-179.9844513,1.075295283
18118,-0.000238909,0.5,8.081573486,-179.9832764,0.690527403
18508,-0.000241525,0.5,8.061423302,-179.983078,0.099566315
18908,-0.000241525,0.5,8.044912338,-179.983078,0.080699351
19223,-0.000241525,0.5,8.029335976,-179.9830933,0.078528137
19609,-0.000241525,0.5,8.014199257,-179.9831085,0.051369073
19995,-0.000245449,0.5,8.283834457,-179.9828033,0.697853026
20366,-0.000280762,0,9.052103996,-179.9803314,2.077370143
20766,-0.00032523,0,9.731375694,-179.9772491,1.702277105
21124,-0.000367083,0,10.34177017,-179.9743042,1.706313285
21506,-0.000407192,0,10.89825058,-179.9715118,1.458393253
21890,-0.000442941,0,11.4134779,-179.9689789,1.340256048
22278,-0.00047869,0,11.89746952,-179.966507,1.247452948
22659,-0.000512695,0,12.35776424,-179.9640961,1.207826882
23045,-0.000546701,0,12.79984856,-179.9617004,1.144349718
23435,-0.00058027,0,13.22765255,-179.9593811,1.098260624
23811,-0.000613403,0,13.64396667,-179.9570618,1.108670807
24172,-0.000646973,0,14.05075169,-179.9547119,1.126540119
24542,-0.000680106,0,14.44941711,-179.9524078,1.078346086
24942,-0.000714111,0,14.84095573,-179.9500275,0.978949587
25332,-0.000748117,0,15.22608376,-179.9476471,0.986688068
25718,-0.000780814,0,15.5529356,-179.945343,0.848026711
26099,-0.000796073,0,15.52151012,-179.9442902,0.171028081
26454,-0.000799561,0,15.48959351,-179.9440155,0.182053798
